Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,IsAccurate,LapTimeSeconds,BestStintLap,Degradation,PitLap
LEC,Ferrari,9.0,0 days 00:01:37.844000,SOFT,12.0,1.0,,,True,97.844,96.862,0.9819999999999993,False
LEC,Ferrari,10.0,0 days 00:01:37.884000,SOFT,13.0,1.0,,,True,97.884,96.862,1.0220000000000056,False
LEC,Ferrari,13.0,0 days 00:01:36.432000,HARD,2.0,2.0,,,True,96.432,96.432,0.0,False
LEC,Ferrari,14.0,0 days 00:01:36.756000,HARD,3.0,2.0,,,True,96.756,96.432,0.32399999999999807,False
LEC,Ferrari,15.0,0 days 00:01:36.813000,HARD,4.0,2.0,,,True,96.813,96.432,0.3810000000000002,False
LEC,Ferrari,16.0,0 days 00:01:36.673000,HARD,5.0,2.0,,,True,96.673,96.432,0.24099999999999966,False
LEC,Ferrari,17.0,0 days 00:01:37.302000,HARD,6.0,2.0,,,True,97.302,96.432,0.8700000000000045,False
LEC,Ferrari,18.0,0 days 00:01:37.438000,HARD,7.0,2.0,,,True,97.438,96.432,1.0060000000000002,False
LEC,Ferrari,19.0,0 days 00:01:36.821000,HARD,8.0,2.0,,,True,96.821,96.432,0.3889999999999958,False
LEC,Ferrari,20.0,0 days 00:01:36.794000,HARD,9.0,2.0,,,True,96.794,96.432,0.36199999999999477,False
LEC,Ferrari,21.0,0 days 00:01:36.977000,HARD,10.0,2.0,,,True,96.977,96.432,0.5450000000000017,False
LEC,Ferrari,22.0,0 days 00:01:36.796000,HARD,11.0,2.0,,,True,96.796,96.432,0.3640000000000043,False
LEC,Ferrari,23.0,0 days 00:01:36.987000,HARD,12.0,2.0,,,True,96.987,96.432,0.5549999999999926,False
LEC,Ferrari,24.0,0 days 00:01:36.924000,HARD,13.0,2.0,,,True,96.924,96.432,0.49200000000000443,False
LEC,Ferrari,25.0,0 days 00:01:36.760000,HARD,14.0,2.0,,,True,96.76,96.432,0.32800000000000296,False
LEC,Ferrari,26.0,0 days 00:01:36.810000,HARD,15.0,2.0,,,True,96.81,96.432,0.3780000000000001,False
LEC,Ferrari,27.0,0 days 00:01:36.831000,HARD,16.0,2.0,,,True,96.831,96.432,0.3990000000000009,False
LEC,Ferrari,28.0,0 days 00:01:36.907000,HARD,17.0,2.0,,,True,96.907,96.432,0.4749999999999943,False
LEC,Ferrari,29.0,0 days 00:01:36.963000,HARD,18.0,2.0,,,True,96.963,96.432,0.5309999999999917,False
LEC,Ferrari,30.0,0 days 00:01:37.158000,HARD,19.0,2.0,,,True,97.158,96.432,0.7259999999999991,False
LEC,Ferrari,31.0,0 days 00:01:37.031000,HARD,20.0,2.0,,,True,97.031,96.432,0.5990000000000038,False
LEC,Ferrari,32.0,0 days 00:01:36.941000,HARD,21.0,2.0,,,True,96.941,96.432,0.5090000000000003,False
LEC,Ferrari,33.0,0 days 00:01:36.741000,HARD,22.0,2.0,,,True,96.741,96.432,0.3089999999999975,False
LEC,Ferrari,36.0,0 days 00:01:34.090000,HARD,2.0,3.0,,,True,94.09,94.09,0.0,False
LEC,Ferrari,37.0,0 days 00:01:34.897000,HARD,3.0,3.0,,,True,94.897,94.09,0.8070000000000022,False
LEC,Ferrari,38.0,0 days 00:01:34.783000,HARD,4.0,3.0,,,True,94.783,94.09,0.6929999999999978,False
LEC,Ferrari,39.0,0 days 00:01:35.087000,HARD,5.0,3.0,,,True,95.087,94.09,0.9969999999999999,False
LEC,Ferrari,40.0,0 days 00:01:34.859000,HARD,6.0,3.0,,,True,94.859,94.09,0.7689999999999912,False
LEC,Ferrari,41.0,0 days 00:01:35.028000,HARD,7.0,3.0,,,True,95.028,94.09,0.9380000000000024,False
LEC,Ferrari,42.0,0 days 00:01:34.982000,HARD,8.0,3.0,,,True,94.982,94.09,0.8919999999999959,False
